item_id,display_name,lr_category,lr_sub_category,count,base_value,price_current,price_industrial_town,price_industrial_city,price_market_town,price_market_city,price_religious_town,price_temple_city,has_quality_tiers,price_uncommon_current,price_uncommon_industrial_town,price_uncommon_industrial_city,price_uncommon_market_town,price_uncommon_market_city,price_uncommon_religious_town,price_uncommon_temple_city,price_rare_current,price_rare_industrial_town,price_rare_industrial_city,price_rare_market_town,price_rare_market_city,price_rare_religious_town,price_rare_temple_city,price_epic_current,price_epic_industrial_town,price_epic_industrial_city,price_epic_market_town,price_epic_market_city,price_epic_religious_town,price_epic_temple_city,price_legendary_current,price_legendary_industrial_town,price_legendary_industrial_city,price_legendary_market_town,price_legendary_market_city,price_legendary_religious_town,price_legendary_temple_city
AR062,Mixed Pie (Open) (3000 Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,52.0,55.0,66,42.9,33,75.9,79.2,72.6,True,55.0,66,42.9,33,75.9,79.2,72.6,60,66.0,79,51.35,39.5,90.85,94.8,65,65,66.0,79,51.35,39.5,90.85,0.196969697,71,71,76.0,91,59.15,45.5
AR063,Mixed Pie (Open) (5000+ Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,78.0,86.0,103,66.95,51.5,118.45,123.6,113.3,True,86.0,103,66.95,51.5,118.45,123.6,113.3,90,95.0,114,74.1,57,131.1,136.8,98,98,99.0,118,76.7,59,135.7,0.1919191919,106,106,115.0,138,89.7,69
AR064,Mixed Pie (Closed) (2000 Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,29,33.0,39,25.35,19.5,44.85,46.8,42.9,True,33.0,39,25.35,19.5,44.85,46.8,42.9,34,35.0,42,27.3,21,48.3,50.4,37,37,38.0,45,29.25,22.5,51.75,0.1842105263,40,40,43.0,51,33.15,25.5
AR065,Mixed Pie (Closed) (3000 Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,58,62.0,74,48.1,37,85.1,88.8,81.4,True,62.0,74,48.1,37,85.1,88.8,81.4,67,68.0,81,52.65,40.5,93.15,97.2,73,73,77.0,92,59.8,46,105.8,0.1948051948,79,79,84.0,100,65,50
AR066,Mixed Pie (Closed) (5000+ Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,86,93.0,111,72.15,55.5,127.65,133.2,122.1,True,93.0,111,72.15,55.5,127.65,133.2,122.1,99,105.0,126,81.9,63,144.9,151.2,108,108,110.0,132,85.8,66,151.8,0.2,117,117,123.0,147,95.55,73.5
AR067,Dairy Pie (Open) (2000 Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,105.0,112.0,134,87.1,67,154.1,160.8,147.4,True,112.0,134,87.1,67,154.1,160.8,147.4,121,130.0,156,101.4,78,179.4,187.2,132,132,137.0,164,106.6,82,188.6,0.197080292,142,142,146.0,175,113.75,87.5
AR068,Dairy Pie (Open) (3000 Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,140.0,152.0,182,118.3,91,209.3,218.4,200.2,True,152.0,182,118.3,91,209.3,218.4,200.2,161,162.0,194,126.1,97,223.1,232.8,175,175,176.0,211,137.15,105.5,242.65,0.1988636364,189,189,206.0,247,160.55,123.5
AR069,Dairy Pie (Open) (5000+ Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,170.0,196.0,235,152.75,117.5,270.25,282,258.5,True,196.0,235,152.75,117.5,270.25,282,258.5,196,206.0,247,160.55,123.5,284.05,296.4,213,213,215.0,258,167.7,129,296.7,0.2,230,230,245.0,294,191.1,147
AR070,Dairy Pie (Closed) (2000 Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,116,130.0,156,101.4,78,179.4,187.2,171.6,True,130.0,156,101.4,78,179.4,187.2,171.6,134,134.0,160,104,80,184,192,145,145,150.0,180,117,90,207,0.2,157,157,164.0,196,127.4,98
AR071,Dairy Pie (Closed) (3000 Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,154,173.0,207,134.55,103.5,238.05,248.4,227.7,True,173.0,207,134.55,103.5,238.05,248.4,227.7,178,194.0,232,150.8,116,266.8,278.4,193,193,211.0,253,164.45,126.5,290.95,0.1990521327,208,208,227.0,272,176.8,136
AR072,Dairy Pie (Closed) (5000+ Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,187,208.0,249,161.85,124.5,286.35,298.8,273.9,True,208.0,249,161.85,124.5,286.35,298.8,273.9,216,228.0,273,177.45,136.5,313.95,327.6,234,234,238.0,285,185.25,142.5,327.75,0.1974789916,253,253,267.0,320,208,160
AR073,Fruit Pie (Open) (2000 Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,55.0,60.0,72,46.8,36,82.8,86.4,79.2,True,60.0,72,46.8,36,82.8,86.4,79.2,64,69.0,82,53.3,41,94.3,98.4,69,69,74.0,88,57.2,44,101.2,0.1891891892,75,75,82.0,98,63.7,49
AR074,Fruit Pie (Open) (3000 Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,85.0,97.0,116,75.4,58,133.4,139.2,127.6,True,97.0,116,75.4,58,133.4,139.2,127.6,98,107.0,128,83.2,64,147.2,153.6,107,107,117.0,140,91,70,161,0.1965811966,115,115,126.0,151,98.15,75.5
AR075,Fruit Pie (Open) (5000+ Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,101.0,114.0,136,88.4,68,156.4,163.2,149.6,True,114.0,136,88.4,68,156.4,163.2,149.6,117,118.0,141,91.65,70.5,162.15,169.2,127,127,136.0,163,105.95,81.5,187.45,0.1985294118,137,137,142.0,170,110.5,85
AR076,Fruit Pie (Closed) (2000 Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,61,67.0,80,52,40,92,96,88,True,67.0,80,52,40,92,96,88,71,75.0,90,58.5,45,103.5,108,77,77,79.0,94,61.1,47,108.1,0.1898734177,83,83,87.0,104,67.6,52
AR077,Fruit Pie (Closed) (3000 Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,94,107.0,128,83.2,64,147.2,153.6,140.8,True,107.0,128,83.2,64,147.2,153.6,140.8,109,117.0,140,91,70,161,168,118,118,127.0,152,98.8,76,174.8,0.1968503937,127,127,140.0,168,109.2,84
AR078,Fruit Pie (Closed) (5000+ Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,112,124.0,148,96.2,74,170.2,177.6,162.8,True,124.0,148,96.2,74,170.2,177.6,162.8,129,133.0,159,103.35,79.5,182.85,190.8,140,140,152.0,182,118.3,91,209.3,0.1973684211,152,152,167.0,200,130,100
AR079,Vegetable (Open) (2000 Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,48.0,56.0,67,43.55,33.5,77.05,80.4,73.7,True,56.0,67,43.55,33.5,77.05,80.4,73.7,56,59.0,70,45.5,35,80.5,84,60,60,62.0,74,48.1,37,85.1,0.1935483871,65,65,72.0,86,55.9,43
AR080,Vegetable (Open) (3000 Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,86.0,91.0,109,70.85,54.5,125.35,130.8,119.9,True,91.0,109,70.85,54.5,125.35,130.8,119.9,99,109.0,130,84.5,65,149.5,156,108,108,113.0,135,87.75,67.5,155.25,0.1946902655,117,117,124.0,148,96.2,74
AR081,Vegetable (Open) (5000+ Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,108.0,117.0,140,91,70,161,168,154,True,117.0,140,91,70,161,168,154,125,128.0,153,99.45,76.5,175.95,183.6,135,135,136.0,163,105.95,81.5,187.45,0.1985294118,146,146,162.0,194,126.1,97
AR082,Vegetable Pie (Closed) (2000 Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,53,57.0,68,44.2,34,78.2,81.6,74.8,True,57.0,68,44.2,34,78.2,81.6,74.8,61,61.0,73,47.45,36.5,83.95,87.6,67,67,71.0,85,55.25,42.5,97.75,0.1971830986,72,72,79.0,94,61.1,47
AR083,Vegetable Pie (Closed) (3000 Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,95,107.0,128,83.2,64,147.2,153.6,140.8,True,107.0,128,83.2,64,147.2,153.6,140.8,110,118.0,141,91.65,70.5,162.15,169.2,119,119,121.0,145,94.25,72.5,166.75,0.1983471074,129,129,143.0,171,111.15,85.5
AR084,Vegetable Pie (Closed) (5000+ Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,119,136.0,163,105.95,81.5,187.45,195.6,179.3,True,136.0,163,105.95,81.5,187.45,195.6,179.3,137,150.0,180,117,90,207,216,149,149,152.0,182,118.3,91,209.3,0.1973684211,161,161,170.0,204,132.6,102
AR085,Protein Pie (Open) (2000 Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,39.0,43.0,51,33.15,25.5,58.65,61.2,56.1,True,43.0,51,33.15,25.5,58.65,61.2,56.1,45,49.0,58,37.7,29,66.7,69.6,49,49,50.0,60,39,30,69,0.2,53,53,57.0,68,44.2,34
AR086,Protein Pie (Closed) (3000 Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,56.0,61.0,73,47.45,36.5,83.95,87.6,80.3,True,61.0,73,47.45,36.5,83.95,87.6,80.3,65,68.0,81,52.65,40.5,93.15,97.2,70,70,77.0,92,59.8,46,105.8,0.1948051948,76,76,82.0,98,63.7,49
AR087,Protein Pie (Open) (5000+ Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,75.0,81.0,97,63.05,48.5,111.55,116.4,106.7,True,81.0,97,63.05,48.5,111.55,116.4,106.7,87,87.0,104,67.6,52,119.6,124.8,94,94,95.0,114,74.1,57,131.1,0.2,102,102,110.0,132,85.8,66
AR088,Protein Pie (Closed) (2000 Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,43,47.0,56,36.4,28,64.4,67.2,61.6,True,47.0,56,36.4,28,64.4,67.2,61.6,50,52.0,62,40.3,31,71.3,74.4,54,54,59.0,70,45.5,35,80.5,0.186440678,59,59,63.0,75,48.75,37.5
AR089,Protein Pie (Closed) (3000 Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,62,67.0,80,52,40,92,96,88,True,67.0,80,52,40,92,96,88,72,78.0,93,60.45,46.5,106.95,111.6,78,78,84.0,100,65,50,115,0.1904761905,84,84,87.0,104,67.6,52
AR090,Protein Pie (Closed) (5000+ Sat),artisanal_goods,"BAKED FOOD (LIMIT 10 EACH, PIES 5 EACH)",32,83,94.0,112,72.8,56,128.8,134.4,123.2,True,94.0,112,72.8,56,128.8,134.4,123.2,96,102.0,122,79.3,61,140.3,146.4,104,104,106.0,127,82.55,63.5,146.05,0.1981132075,113,113,121.0,145,94.25,72.5
AR091,Au Grautin (Sealed),artisanal_goods,COOKED FOODS (LIMIT 20 EACH),1,3.0,4.0,4,2.6,2,4.6,4.8,4.4,True,4.0,4,2.6,2,4.6,4.8,4.4,4,4.0,4,2.6,2,4.6,4.8,4,4,4.0,4,2.6,2,4.6,0,5,5,6.0,7,4.55,3.5
AR092,Blue Cheese (LIMIT 10),artisanal_goods,COOKED FOODS (LIMIT 20 EACH),4,30.0,34.0,40,26,20,46,48,44,True,34.0,40,26,20,46,48,44,35,36.0,43,27.95,21.5,49.45,51.6,38,38,40.0,48,31.2,24,55.2,0.2,41,41,44.0,52,33.8,26
AR093,Cheese (Waxxed) (LIMIT 10),artisanal_goods,COOKED FOODS (LIMIT 20 EACH),4,20.0,22.0,26,16.9,13,29.9,31.2,28.6,True,22.0,26,16.9,13,29.9,31.2,28.6,23,24.0,28,18.2,14,32.2,33.6,25,25,26.0,31,20.15,15.5,35.65,0.1923076923,27,27,28.0,33,21.45,16.5
AR094,Clarified Bone Broth (Sealed),artisanal_goods,COOKED FOODS (LIMIT 20 EACH),1,2.0,3.0,3,1.95,1.5,3.45,3.6,3.3,True,3.0,3,1.95,1.5,3.45,3.6,3.3,3,3.0,3,1.95,1.5,3.45,3.6,3,3,3.0,3,1.95,1.5,3.45,0,3,3,3.0,3,1.95,1.5
AR095,Clarified Meat Broth (Sealed),artisanal_goods,COOKED FOODS (LIMIT 20 EACH),1,3.0,4.0,4,2.6,2,4.6,4.8,4.4,True,4.0,4,2.6,2,4.6,4.8,4.4,4,4.0,4,2.6,2,4.6,4.8,4,4,4.0,4,2.6,2,4.6,0,5,5,6.0,7,4.55,3.5
AR096,Clarified Seafood Broth (Sealed),artisanal_goods,COOKED FOODS (LIMIT 20 EACH),1,4.0,5.0,6,3.9,3,6.9,7.2,6.6,True,5.0,6,3.9,3,6.9,7.2,6.6,5,5.0,6,3.9,3,6.9,7.2,5,5,5.0,6,3.9,3,6.9,0.2,6,6,7.0,8,5.2,4
AR097,Clarified Vegetable Broth (Sealed),artisanal_goods,COOKED FOODS (LIMIT 20 EACH),1,2.0,3.0,3,1.95,1.5,3.45,3.6,3.3,True,3.0,3,1.95,1.5,3.45,3.6,3.3,3,3.0,3,1.95,1.5,3.45,3.6,3,3,3.0,3,1.95,1.5,3.45,0,3,3,3.0,3,1.95,1.5
AR098,Dumpling Soup (Sealed),artisanal_goods,COOKED FOODS (LIMIT 20 EACH),1,7.0,8.0,9,5.85,4.5,10.35,10.8,9.9,True,8.0,9,5.85,4.5,10.35,10.8,9.9,9,10.0,12,7.8,6,13.8,14.4,9,9,10.0,12,7.8,6,13.8,0.2,10,10,10.0,12,7.8,6
AR099,Meat Soup (Sealed),artisanal_goods,COOKED FOODS (LIMIT 20 EACH),1,6.0,7.0,8,5.2,4,9.2,9.6,8.8,True,7.0,8,5.2,4,9.2,9.6,8.8,7,7.0,8,5.2,4,9.2,9.6,8,8,8.0,9,5.85,4.5,10.35,0.125,9,9,10.0,12,7.8,6
AR100,Meat Stew (Sealed),artisanal_goods,COOKED FOODS (LIMIT 20 EACH),1,5.0,6.0,7,4.55,3.5,8.05,8.4,7.7,True,6.0,7,4.55,3.5,8.05,8.4,7.7,6,6.0,7,4.55,3.5,8.05,8.4,7,7,7.0,8,5.2,4,9.2,0.1428571429,7,7,8.0,9,5.85,4.5
AR101,Vegetable Soup (Sealed),artisanal_goods,COOKED FOODS (LIMIT 20 EACH),1,5.0,6.0,7,4.55,3.5,8.05,8.4,7.7,True,6.0,7,4.55,3.5,8.05,8.4,7.7,6,6.0,7,4.55,3.5,8.05,8.4,7,7,8.0,9,5.85,4.5,10.35,0.125,7,7,8.0,9,5.85,4.5
AR102,Vegetable Stew (Sealed),artisanal_goods,COOKED FOODS (LIMIT 20 EACH),1,5.0,6.0,7,4.55,3.5,8.05,8.4,7.7,True,6.0,7,4.55,3.5,8.05,8.4,7.7,6,6.0,7,4.55,3.5,8.05,8.4,7,7,7.0,8,5.2,4,9.2,0.1428571429,7,7,7.0,8,5.2,4
AR103,Pasta (Sealed),artisanal_goods,COOKED FOODS (LIMIT 20 EACH),1,2.0,3.0,3,1.95,1.5,3.45,3.6,3.3,True,3.0,3,1.95,1.5,3.45,3.6,3.3,3,3.0,3,1.95,1.5,3.45,3.6,3,3,3.0,3,1.95,1.5,3.45,0,3,3,3.0,3,1.95,1.5
AR104,Pilaf (Sealed),artisanal_goods,COOKED FOODS (LIMIT 20 EACH),1,1.0,2.0,2,1.3,1,2.3,2.4,2.2,True,2.0,2,1.3,1,2.3,2.4,2.2,2,2.0,2,1.3,1,2.3,2.4,2,2,2.0,2,1.3,1,2.3,0,2,2,2.0,2,1.3,1
AR105,Salads (Sealed),artisanal_goods,COOKED FOODS (LIMIT 20 EACH),1,1.0,2.0,2,1.3,1,2.3,2.4,2.2,True,2.0,2,1.3,1,2.3,2.4,2.2,2,2.0,2,1.3,1,2.3,2.4,2,2,2.0,2,1.3,1,2.3,0,2,2,2.0,2,1.3,1
AR106,Bushmeat Cheesy Sausage,artisanal_goods,CURED FOODS (LIMIT 20 EACH),32,6,8.0,9,5.85,4.5,10.35,10.8,9.9,True,8.0,9,5.85,4.5,10.35,10.8,9.9,7,7.0,8,5.2,4,9.2,9.6,8,8,9.0,10,6.5,5,11.5,0.1111111111,9,9,9.0,10,6.5,5
AR107,Bushmeat Sausage,artisanal_goods,CURED FOODS (LIMIT 20 EACH),32,5,6.0,7,4.55,3.5,8.05,8.4,7.7,True,6.0,7,4.55,3.5,8.05,8.4,7.7,6,6.0,7,4.55,3.5,8.05,8.4,7,7,7.0,8,5.2,4,9.2,0.1428571429,7,7,7.0,8,5.2,4
AR108,Cooked Crab Pemmican,artisanal_goods,CURED FOODS (LIMIT 20 EACH),1,4.0,5.0,6,3.9,3,6.9,7.2,6.6,True,5.0,6,3.9,3,6.9,7.2,6.6,5,5.0,6,3.9,3,6.9,7.2,5,5,5.0,6,3.9,3,6.9,0.2,6,6,6.0,7,4.55,3.5
AR109,Cooked Fish Pemmican,artisanal_goods,CURED FOODS (LIMIT 20 EACH),1,3.0,4.0,4,2.6,2,4.6,4.8,4.4,True,4.0,4,2.6,2,4.6,4.8,4.4,4,4.0,4,2.6,2,4.6,4.8,4,4,4.0,4,2.6,2,4.6,0,5,5,5.0,6,3.9,3
AR110,Cooked Pemmican,artisanal_goods,CURED FOODS (LIMIT 20 EACH),1,2.0,3.0,3,1.95,1.5,3.45,3.6,3.3,True,3.0,3,1.95,1.5,3.45,3.6,3.3,3,3.0,3,1.95,1.5,3.45,3.6,3,3,3.0,3,1.95,1.5,3.45,0,3,3,3.0,3,1.95,1.5
AR111,Cooked Snake Pemmican,artisanal_goods,CURED FOODS (LIMIT 20 EACH),1,5.0,6.0,7,4.55,3.5,8.05,8.4,7.7,True,6.0,7,4.55,3.5,8.05,8.4,7.7,6,6.0,7,4.55,3.5,8.05,8.4,7,7,7.0,8,5.2,4,9.2,0.1428571429,7,7,8.0,9,5.85,4.5
AR112,Crab Cheesy Sausage,artisanal_goods,CURED FOODS (LIMIT 20 EACH),1,8.0,9.0,10,6.5,5,11.5,12,11,True,9.0,10,6.5,5,11.5,12,11,10,10.0,12,7.8,6,13.8,14.4,10,10,10.0,12,7.8,6,13.8,0.2,11,11,12.0,14,9.1,7
AR113,Crab Sausage,artisanal_goods,CURED FOODS (LIMIT 20 EACH),1,6.0,8.0,9,5.85,4.5,10.35,10.8,9.9,True,8.0,9,5.85,4.5,10.35,10.8,9.9,7,8.0,9,5.85,4.5,10.35,10.8,8,8,8.0,9,5.85,4.5,10.35,0.125,9,9,10.0,12,7.8,6
AR114,Fish Cheesy Sausage,artisanal_goods,CURED FOODS (LIMIT 20 EACH),1,10.0,12.0,14,9.1,7,16.1,16.8,15.4,True,12.0,14,9.1,7,16.1,16.8,15.4,12,12.0,14,9.1,7,16.1,16.8,13,13,14.0,16,10.4,8,18.4,0.1428571429,14,14,15.0,18,11.7,9
AR115,Fish Sausage,artisanal_goods,CURED FOODS (LIMIT 20 EACH),1,9.0,11.0,13,8.45,6.5,14.95,15.6,14.3,True,11.0,13,8.45,6.5,14.95,15.6,14.3,11,11.0,13,8.45,6.5,14.95,15.6,12,12,12.0,14,9.1,7,16.1,0.1666666667,13,13,13.0,15,9.75,7.5
AR116,Poultry Cheesy Sausage,artisanal_goods,CURED FOODS (LIMIT 20 EACH),1,10.0,11.0,13,8.45,6.5,14.95,15.6,14.3,True,11.0,13,8.45,6.5,14.95,15.6,14.3,12,13.0,15,9.75,7.5,17.25,18,13,13,14.0,16,10.4,8,18.4,0.1428571429,14,14,15.0,18,11.7,9
AR117,Poultry Sausage,artisanal_goods,CURED FOODS (LIMIT 20 EACH),1,6.0,7.0,8,5.2,4,9.2,9.6,8.8,True,7.0,8,5.2,4,9.2,9.6,8.8,7,8.0,9,5.85,4.5,10.35,10.8,8,8,9.0,10,6.5,5,11.5,0.1111111111,9,9,10.0,12,7.8,6
AR118,Redmeat Cheesy Sausage,artisanal_goods,CURED FOODS (LIMIT 20 EACH),1,11.0,12.0,14,9.1,7,16.1,16.8,15.4,True,12.0,14,9.1,7,16.1,16.8,15.4,13,13.0,15,9.75,7.5,17.25,18,14,14,14.0,16,10.4,8,18.4,0.1428571429,15,15,15.0,18,11.7,9
AR119,Redmeat Sausage,artisanal_goods,CURED FOODS (LIMIT 20 EACH),1,7.0,9.0,10,6.5,5,11.5,12,11,True,9.0,10,6.5,5,11.5,12,11,9,10.0,12,7.8,6,13.8,14.4,9,9,10.0,12,7.8,6,13.8,0.2,10,10,10.0,12,7.8,6
AR120,Snake Cheesy Sausage,artisanal_goods,CURED FOODS (LIMIT 20 EACH),1,12.0,13.0,15,9.75,7.5,17.25,18,16.5,True,13.0,15,9.75,7.5,17.25,18,16.5,14,15.0,18,11.7,9,20.7,21.6,15,15,15.0,18,11.7,9,20.7,0.2,17,17,19.0,22,14.3,11
AR121,Snake Sausage,artisanal_goods,CURED FOODS (LIMIT 20 EACH),1,9.0,11.0,13,8.45,6.5,14.95,15.6,14.3,True,11.0,13,8.45,6.5,14.95,15.6,14.3,11,12.0,14,9.1,7,16.1,16.8,12,12,12.0,14,9.1,7,16.1,0.1666666667,13,13,14.0,16,10.4,8
AR122,Dark Chocolate,artisanal_goods,CANDY (LIMIT 10 EACH),32,5.0,50.0,60,39,30,69,72,66,True,50.0,60,39,30,69,72,66,6,6.0,7,4.55,3.5,8.05,8.4,7,7,7.0,8,5.2,4,9.2,0.1428571429,7,7,7.0,8,5.2,4
AR123,Dried Fruit,artisanal_goods,CANDY (LIMIT 10 EACH),64,2.0,3.0,3,1.95,1.5,3.45,3.6,3.3,True,3.0,3,1.95,1.5,3.45,3.6,3.3,3,3.0,3,1.95,1.5,3.45,3.6,3,3,3.0,3,1.95,1.5,3.45,0,3,3,3.0,3,1.95,1.5
AR124,Fruit Candy,artisanal_goods,CANDY (LIMIT 10 EACH),64,20.0,21.0,25,16.25,12.5,28.75,30,27.5,True,21.0,25,16.25,12.5,28.75,30,27.5,23,25.0,30,19.5,15,34.5,36,25,25,26.0,31,20.15,15.5,35.65,0.1923076923,27,27,29.0,34,22.1,17
AR125,Honey (LIMIT 3),artisanal_goods,CANDY (LIMIT 10 EACH),50,100.0,109.0,130,84.5,65,149.5,156,143,True,109.0,130,84.5,65,149.5,156,143,115,125.0,150,97.5,75,172.5,180,125,125,129.0,154,100.1,77,177.1,0.1937984496,135,135,151.0,181,117.65,90.5
AR126,Honey Comb,artisanal_goods,CANDY (LIMIT 10 EACH),32,6.0,8.0,9,5.85,4.5,10.35,10.8,9.9,True,8.0,9,5.85,4.5,10.35,10.8,9.9,7,7.0,8,5.2,4,9.2,9.6,8,8,8.0,9,5.85,4.5,10.35,0.125,9,9,9.0,10,6.5,5
AR127,Jam (Sealed),artisanal_goods,CANDY (LIMIT 10 EACH),1,18.0,20.0,24,15.6,12,27.6,28.8,26.4,True,20.0,24,15.6,12,27.6,28.8,26.4,21,23.0,27,17.55,13.5,31.05,32.4,23,23,25.0,30,19.5,15,34.5,0.2,25,25,26.0,31,20.15,15.5
