item_id,display_name,lr_category,lr_sub_category,count,base_value,price_current,price_industrial_town,price_industrial_city,price_market_town,price_market_city,price_religious_town,price_temple_city,has_quality_tiers,price_uncommon_current,price_uncommon_industrial_town,price_uncommon_industrial_city,price_uncommon_market_town,price_uncommon_market_city,price_uncommon_religious_town,price_uncommon_temple_city,price_rare_current,price_rare_industrial_town,price_rare_industrial_city,price_rare_market_town,price_rare_market_city,price_rare_religious_town,price_rare_temple_city,price_epic_current,price_epic_industrial_town,price_epic_industrial_city,price_epic_market_town,price_epic_market_city,price_epic_religious_town,price_epic_temple_city,price_legendary_current,price_legendary_industrial_town,price_legendary_industrial_city,price_legendary_market_town,price_legendary_market_city,price_legendary_religious_town,price_legendary_temple_city
AG029,"Medium Goats (Limit 20, Musk Ox & Takin Gold Goat)",agricultural_goods,"Animals (Alive, Caged)",3,10.0,17.0,11.05,8.5,18.7,19.55,18.7,20.4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG030,"Large Goats (Limit 15, Angora goat, Alpine Ibex, Nubian Ibex, Markhor goat, Mountain goat, Nubian goat, Sirohi goat, Turdag goat, Valais goat)",agricultural_goods,"Animals (Alive, Caged)",3,13.0,17.0,11.05,8.5,18.7,19.55,18.7,20.4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG031,Wolf (Limit 10),agricultural_goods,"Animals (Alive, Caged)",1,15.0,25.0,16.25,12.5,27.5,28.75,27.5,30,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG032,Elephant (Limit 3),agricultural_goods,"Animals (Alive, Caged)",1,50.0,100.0,65,50,110,115,110,120,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG033,Fish (Dead) (No Limit),agricultural_goods,"Animals (Alive, Caged)",32,8.0,45.0,29.25,22.5,49.5,51.75,49.5,54,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG034,Sun Bear (Limit 10),agricultural_goods,"Animals (Alive, Caged)",1,20.0,29.0,18.85,14.5,31.9,33.35,31.9,34.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG035,Panda Bear (Limit 10),agricultural_goods,"Animals (Alive, Caged)",1,30.0,39.0,25.35,19.5,42.9,44.85,42.9,46.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG036,Black Bear (Limit 20),agricultural_goods,"Animals (Alive, Caged)",1,40.0,45.0,29.25,22.5,49.5,51.75,49.5,54,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG037,Brown Bear (Limit 20),agricultural_goods,"Animals (Alive, Caged)",1,50.0,56.0,36.4,28,61.6,64.4,61.6,67.2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG038,Polar Bear,agricultural_goods,"Animals (Alive, Caged)",1,60.0,68.0,44.2,34,74.8,78.2,74.8,81.6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG039,Prepared Small Hide,agricultural_goods,Animal Goods,64,3.0,5.0,3.25,2.5,5.5,5.75,5.5,6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG040,Prepared Medium Hide,agricultural_goods,Animal Goods,32,2.0,6.0,3.9,3,6.6,6.9,6.6,7.2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG041,Prepared Large Hide,agricultural_goods,Animal Goods,16,3.0,8.0,5.2,4,8.8,9.2,8.8,9.6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG042,Prepared Huge Hide,agricultural_goods,Animal Goods,8,6.0,14.0,9.1,7,15.4,16.1,15.4,16.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG043,Fat,agricultural_goods,Animal Goods,64,8.0,9.0,5.85,4.5,9.9,10.35,9.9,10.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG044,Logs,agricultural_goods,Wood,16,1.0,1.0,0.65,0.5,1.1,1.15,1.1,1.2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG045,Planks,agricultural_goods,Wood,32,3.0,2.0,1.3,1,2.2,2.3,2.2,2.4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG046,Firewood,agricultural_goods,Wood,32,4.0,4.0,2.6,2,4.4,4.6,4.4,4.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG047,Resin,agricultural_goods,Wood,32,5.0,5.0,3.25,2.5,5.5,5.75,5.5,6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
