id,output_game_code,recipe_type,source_mod
1692,block:bottlerack-{woodframe}-douglasfir-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1571,block:bottlerack-{woodframe}-ebony-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1704,block:bottlerack-{woodframe}-elm-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1721,block:bottlerack-{woodframe}-empresstree-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1706,block:bottlerack-{woodframe}-eucalyptus-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1724,block:bottlerack-{woodframe}-fir-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1716,block:bottlerack-{woodframe}-ghostgum-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1711,block:bottlerack-{woodframe}-ginkgo-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1715,block:bottlerack-{woodframe}-guajacum-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1694,block:bottlerack-{woodframe}-honeylocust-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1730,block:bottlerack-{woodframe}-horsechestnut-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1720,block:bottlerack-{woodframe}-jacaranda-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1572,block:bottlerack-{woodframe}-kapok-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1710,block:bottlerack-{woodframe}-kauri-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1573,block:bottlerack-{woodframe}-larch-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1728,block:bottlerack-{woodframe}-leadwood-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1729,block:bottlerack-{woodframe}-linden-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1699,block:bottlerack-{woodframe}-mahogany-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1734,block:bottlerack-{woodframe}-mangrove-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1574,block:bottlerack-{woodframe}-maple-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1575,block:bottlerack-{woodframe}-oak-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1717,block:bottlerack-{woodframe}-ohia-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1723,block:bottlerack-{woodframe}-petrified-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1576,block:bottlerack-{woodframe}-pine-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1696,block:bottlerack-{woodframe}-poplar-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1577,block:bottlerack-{woodframe}-purpleheart-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1708,block:bottlerack-{woodframe}-redcedar-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1578,block:bottlerack-{woodframe}-redwood-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1700,block:bottlerack-{woodframe}-sal-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1732,block:bottlerack-{woodframe}-sapele-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1718,block:bottlerack-{woodframe}-satinash-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1701,block:bottlerack-{woodframe}-saxaul-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1702,block:bottlerack-{woodframe}-spruce-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1726,block:bottlerack-{woodframe}-spurgetree-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1703,block:bottlerack-{woodframe}-sycamore-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1725,block:bottlerack-{woodframe}-tamanu-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1731,block:bottlerack-{woodframe}-tigerwood-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1697,block:bottlerack-{woodframe}-tuja-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1713,block:bottlerack-{woodframe}-umnini-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1579,block:bottlerack-{woodframe}-walnut-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1693,block:bottlerack-{woodframe}-willow-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1709,block:bottlerack-{woodframe}-yew-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1555,block:bottlerackcorner-{woodframe}-acacia-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1567,block:bottlerackcorner-{woodframe}-aged-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1689,block:bottlerackcorner-{woodframe}-ash-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1683,block:bottlerackcorner-{woodframe}-azobe-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1556,block:bottlerackcorner-{woodframe}-baldcypress-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1670,block:bottlerackcorner-{woodframe}-banyan-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1651,block:bottlerackcorner-{woodframe}-bearnut-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1661,block:bottlerackcorner-{woodframe}-beech-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1557,block:bottlerackcorner-{woodframe}-birch-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1675,block:bottlerackcorner-{woodframe}-bluemahoe-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1654,block:bottlerackcorner-{woodframe}-catalpa-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1663,block:bottlerackcorner-{woodframe}-cedar-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1691,block:bottlerackcorner-{woodframe}-charred-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1678,block:bottlerackcorner-{woodframe}-chlorociboria-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1668,block:bottlerackcorner-{woodframe}-dalbergia-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1648,block:bottlerackcorner-{woodframe}-douglasfir-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1558,block:bottlerackcorner-{woodframe}-ebony-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1660,block:bottlerackcorner-{woodframe}-elm-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1677,block:bottlerackcorner-{woodframe}-empresstree-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1662,block:bottlerackcorner-{woodframe}-eucalyptus-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1680,block:bottlerackcorner-{woodframe}-fir-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1672,block:bottlerackcorner-{woodframe}-ghostgum-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1667,block:bottlerackcorner-{woodframe}-ginkgo-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1671,block:bottlerackcorner-{woodframe}-guajacum-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1650,block:bottlerackcorner-{woodframe}-honeylocust-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1686,block:bottlerackcorner-{woodframe}-horsechestnut-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1676,block:bottlerackcorner-{woodframe}-jacaranda-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1559,block:bottlerackcorner-{woodframe}-kapok-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1666,block:bottlerackcorner-{woodframe}-kauri-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1560,block:bottlerackcorner-{woodframe}-larch-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1684,block:bottlerackcorner-{woodframe}-leadwood-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1685,block:bottlerackcorner-{woodframe}-linden-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1655,block:bottlerackcorner-{woodframe}-mahogany-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1690,block:bottlerackcorner-{woodframe}-mangrove-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1561,block:bottlerackcorner-{woodframe}-maple-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1562,block:bottlerackcorner-{woodframe}-oak-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1673,block:bottlerackcorner-{woodframe}-ohia-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1679,block:bottlerackcorner-{woodframe}-petrified-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1563,block:bottlerackcorner-{woodframe}-pine-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1652,block:bottlerackcorner-{woodframe}-poplar-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1564,block:bottlerackcorner-{woodframe}-purpleheart-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1664,block:bottlerackcorner-{woodframe}-redcedar-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1565,block:bottlerackcorner-{woodframe}-redwood-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1656,block:bottlerackcorner-{woodframe}-sal-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1688,block:bottlerackcorner-{woodframe}-sapele-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1674,block:bottlerackcorner-{woodframe}-satinash-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1657,block:bottlerackcorner-{woodframe}-saxaul-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1658,block:bottlerackcorner-{woodframe}-spruce-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1682,block:bottlerackcorner-{woodframe}-spurgetree-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1659,block:bottlerackcorner-{woodframe}-sycamore-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1681,block:bottlerackcorner-{woodframe}-tamanu-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1687,block:bottlerackcorner-{woodframe}-tigerwood-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1653,block:bottlerackcorner-{woodframe}-tuja-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1669,block:bottlerackcorner-{woodframe}-umnini-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1566,block:bottlerackcorner-{woodframe}-walnut-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1649,block:bottlerackcorner-{woodframe}-willow-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1665,block:bottlerackcorner-{woodframe}-yew-north,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1780,item:cork-generic,grid,ACulinaryArtillery 2.0.0-dev.11.zip_1d7d0dd8603f
1783,item:firewood,grid,adventurers-walking-stick_1.0.18.zip_5366897eff97
1867,item:potionbase-archer-weak,grid,alchemy_1.8.2.zip_967059b12b95
1900,item:potionbase-healingeffect-weak,grid,alchemy_1.8.2.zip_967059b12b95
1902,item:potionbase-hungerenhance-weak,grid,alchemy_1.8.2.zip_967059b12b95
1904,item:potionbase-hungersupress-weak,grid,alchemy_1.8.2.zip_967059b12b95
1906,item:potionbase-hunter-weak,grid,alchemy_1.8.2.zip_967059b12b95
1908,item:potionbase-looter-weak,grid,alchemy_1.8.2.zip_967059b12b95
1912,item:potionbase-melee-weak,grid,alchemy_1.8.2.zip_967059b12b95
1914,item:potionbase-mining-weak,grid,alchemy_1.8.2.zip_967059b12b95
1917,item:potionbase-poison-weak,grid,alchemy_1.8.2.zip_967059b12b95
1921,item:potionbase-predator-weak,grid,alchemy_1.8.2.zip_967059b12b95
1924,item:potionbase-regen-weak,grid,alchemy_1.8.2.zip_967059b12b95
1928,item:potionbase-speed-weak,grid,alchemy_1.8.2.zip_967059b12b95
1931,item:potionbase-vitality-weak,grid,alchemy_1.8.2.zip_967059b12b95
2460,item:handle-long,grid,armory_1.8.3.zip_d04dc24a6366
2461,item:handle-long,grid,armory_1.8.3.zip_d04dc24a6366
2472,item:handle-long,grid,armory_1.8.3.zip_d04dc24a6366
2473,item:handle-long,grid,armory_1.8.3.zip_d04dc24a6366
2484,item:handle-long,grid,armory_1.8.3.zip_d04dc24a6366
2485,item:handle-long,grid,armory_1.8.3.zip_d04dc24a6366
2496,item:handle-long,grid,armory_1.8.3.zip_d04dc24a6366
2497,item:handle-long,grid,armory_1.8.3.zip_d04dc24a6366
2508,item:handle-long,grid,armory_1.8.3.zip_d04dc24a6366
2509,item:handle-long,grid,armory_1.8.3.zip_d04dc24a6366
2520,item:handle-long,grid,armory_1.8.3.zip_d04dc24a6366
2521,item:handle-long,grid,armory_1.8.3.zip_d04dc24a6366
2526,item:handle-long,grid,armory_1.8.3.zip_d04dc24a6366
2527,item:handle-long,grid,armory_1.8.3.zip_d04dc24a6366
2458,item:handle-medium,grid,armory_1.8.3.zip_d04dc24a6366
2459,item:handle-medium,grid,armory_1.8.3.zip_d04dc24a6366
2470,item:handle-medium,grid,armory_1.8.3.zip_d04dc24a6366
2471,item:handle-medium,grid,armory_1.8.3.zip_d04dc24a6366
2482,item:handle-medium,grid,armory_1.8.3.zip_d04dc24a6366
2483,item:handle-medium,grid,armory_1.8.3.zip_d04dc24a6366
2494,item:handle-medium,grid,armory_1.8.3.zip_d04dc24a6366
2495,item:handle-medium,grid,armory_1.8.3.zip_d04dc24a6366
2506,item:handle-medium,grid,armory_1.8.3.zip_d04dc24a6366
2507,item:handle-medium,grid,armory_1.8.3.zip_d04dc24a6366
2518,item:handle-medium,grid,armory_1.8.3.zip_d04dc24a6366
2519,item:handle-medium,grid,armory_1.8.3.zip_d04dc24a6366
2524,item:handle-medium,grid,armory_1.8.3.zip_d04dc24a6366
2525,item:handle-medium,grid,armory_1.8.3.zip_d04dc24a6366
2456,item:handle-short,grid,armory_1.8.3.zip_d04dc24a6366
2457,item:handle-short,grid,armory_1.8.3.zip_d04dc24a6366
2468,item:handle-short,grid,armory_1.8.3.zip_d04dc24a6366
2469,item:handle-short,grid,armory_1.8.3.zip_d04dc24a6366
2480,item:handle-short,grid,armory_1.8.3.zip_d04dc24a6366
2481,item:handle-short,grid,armory_1.8.3.zip_d04dc24a6366
2492,item:handle-short,grid,armory_1.8.3.zip_d04dc24a6366
2493,item:handle-short,grid,armory_1.8.3.zip_d04dc24a6366
2504,item:handle-short,grid,armory_1.8.3.zip_d04dc24a6366
2505,item:handle-short,grid,armory_1.8.3.zip_d04dc24a6366
2516,item:handle-short,grid,armory_1.8.3.zip_d04dc24a6366
2517,item:handle-short,grid,armory_1.8.3.zip_d04dc24a6366
2522,item:handle-short,grid,armory_1.8.3.zip_d04dc24a6366
2523,item:handle-short,grid,armory_1.8.3.zip_d04dc24a6366
3090,block:slantedroofing-thatch-east-free,grid,ArtOfGrowing_GrassFixedVersion_1.1.6.zip_b96e2484ec21
3096,block:slantedroofingcornerinner-thatch-east-free,grid,ArtOfGrowing_GrassFixedVersion_1.1.6.zip_b96e2484ec21
3098,block:slantedroofingcornerouter-thatch-east-free,grid,ArtOfGrowing_GrassFixedVersion_1.1.6.zip_b96e2484ec21
3092,block:slantedroofingridge-thatch-ns-free,grid,ArtOfGrowing_GrassFixedVersion_1.1.6.zip_b96e2484ec21
3094,block:slantedroofingtip-thatch-free,grid,ArtOfGrowing_GrassFixedVersion_1.1.6.zip_b96e2484ec21
3066,item:agedgrass,grid,ArtOfGrowing_GrassFixedVersion_1.1.6.zip_b96e2484ec21
3106,item:thatch,grid,ArtOfGrowing_GrassFixedVersion_1.1.6.zip_b96e2484ec21
16165,antlermount,grid,Base Game JSON
16166,antlermount,grid,Base Game JSON
16167,antlermount,grid,Base Game JSON
17102,archimedesscrew-ported-north,grid,Base Game JSON
17101,archimedesscrew-straight,grid,Base Game JSON
16229,armor-body-sewn-linen,grid,Base Game JSON
16555,bandage-clean,grid,Base Game JSON
16556,bandage-clean,grid,Base Game JSON
16574,boatseat-{wood},grid,Base Game JSON
16593,bookshelf,grid,Base Game JSON
16594,bookshelf,grid,Base Game JSON
16595,bookshelf,grid,Base Game JSON
16596,bookshelf,grid,Base Game JSON
17649,bowstave-long-raw,grid,Base Game JSON
16658,brickcourse-eight-header-{color},grid,Base Game JSON
16634,brickcourse-eight-header-{type},grid,Base Game JSON
16635,brickcourse-eight-header-{type},grid,Base Game JSON
16657,brickcourse-eight-headero-{color},grid,Base Game JSON
16654,brickcourse-eight-running-{color},grid,Base Game JSON
16632,brickcourse-eight-running-{type},grid,Base Game JSON
16633,brickcourse-eight-running-{type},grid,Base Game JSON
16653,brickcourse-eight-runningl-{color},grid,Base Game JSON
16652,brickcourse-eight-runningo-{color},grid,Base Game JSON
16651,brickcourse-eight-runningr-{color},grid,Base Game JSON
16656,brickcourse-eight-soldier-{color},grid,Base Game JSON
16636,brickcourse-eight-soldier-{type},grid,Base Game JSON
16637,brickcourse-eight-soldier-{type},grid,Base Game JSON
16655,brickcourse-eight-soldiero-{color},grid,Base Game JSON
16650,brickcourse-four-header-{color},grid,Base Game JSON
16628,brickcourse-four-header-{type},grid,Base Game JSON
16629,brickcourse-four-header-{type},grid,Base Game JSON
16649,brickcourse-four-headero-{color},grid,Base Game JSON
16646,brickcourse-four-running-{color},grid,Base Game JSON
16630,brickcourse-four-running-{type},grid,Base Game JSON
16631,brickcourse-four-running-{type},grid,Base Game JSON
16645,brickcourse-four-runningl-{color},grid,Base Game JSON
16644,brickcourse-four-runningo-{color},grid,Base Game JSON
16643,brickcourse-four-runningr-{color},grid,Base Game JSON
16648,brickcourse-four-soldier-{color},grid,Base Game JSON
16626,brickcourse-four-soldier-{type},grid,Base Game JSON
16627,brickcourse-four-soldier-{type},grid,Base Game JSON
16647,brickcourse-four-soldiero-{color},grid,Base Game JSON
17413,brickslabs-{type}-down-free,grid,Base Game JSON
17415,brickslabscourse-eight-{type}-down-free,grid,Base Game JSON
17414,brickslabscourse-four-{type}-down-free,grid,Base Game JSON
16612,chest-east,grid,Base Game JSON
16614,chiseledblock,grid,Base Game JSON
16659,clayshingleblock-{type},grid,Base Game JSON
17422,clayshinglelabs-{type}-down-free,grid,Base Game JSON
17427,clayshinglelabs-{type}-down-free,grid,Base Game JSON
17506,clayshinglestairs-{type}-up-north-free,grid,Base Game JSON
16719,clothes-foot-knee-high-fur-boots,grid,Base Game JSON
16722,clothes-foot-knee-high-fur-boots,grid,Base Game JSON
16705,clothes-lowerbody-raw-hide-trousers,grid,Base Game JSON
16708,clothes-lowerbody-raw-hide-trousers,grid,Base Game JSON
17652,club-generic-wood,grid,Base Game JSON
17653,club-generic-wood,grid,Base Game JSON
16831,cobblestone-coral,grid,Base Game JSON
17416,cobblestoneslab-{rock}-down-free,grid,Base Game JSON
16837,crate,grid,Base Game JSON
16888,debarkedlog-{wood}-ud,grid,Base Game JSON
16903,door-1x3gate-{wood},grid,Base Game JSON
16904,door-2x2gate-{wood},grid,Base Game JSON
16905,door-2x3gate-{wood},grid,Base Game JSON
16906,door-2x4gate-{wood},grid,Base Game JSON
16902,door-solid-{wood},grid,Base Game JSON
16937,drypackeddirt,grid,Base Game JSON
16974,fencecoral-ew-free,grid,Base Game JSON
16975,figurehead-bear,grid,Base Game JSON
16976,figurehead-gear,grid,Base Game JSON
16977,figurehead-siren,grid,Base Game JSON
16978,figurehead-skull,grid,Base Game JSON
16979,figurehead-wolf,grid,Base Game JSON
16981,firewood,grid,Base Game JSON
16983,firewood,grid,Base Game JSON
16984,firewood,grid,Base Game JSON
16988,forge,grid,Base Game JSON
17417,glassslab-{type}-down-free,grid,Base Game JSON
17012,hide-pelt-bear-{species}-head,grid,Base Game JSON
17398,hide-scraped-huge,grid,Base Game JSON
17399,hide-scraped-huge,grid,Base Game JSON
17400,hide-scraped-huge,grid,Base Game JSON
17401,hide-scraped-huge,grid,Base Game JSON
17028,hunterbackpack,grid,Base Game JSON
17076,logquad-barkedcorner-{wood}-north,grid,Base Game JSON
17077,logquad-barkedcorner-{wood}-north,grid,Base Game JSON
17078,logquad-debarked-{wood}-ud,grid,Base Game JSON
17079,logquad-debarkedcorner-{wood}-north,grid,Base Game JSON
17080,logquad-debarkedcorner-{wood}-north,grid,Base Game JSON
17075,logquad-placed-{wood}-ud,grid,Base Game JSON
17118,metalbit-{metal},grid,Base Game JSON
17119,metalbit-{metal},grid,Base Game JSON
17120,metalbit-{metal},grid,Base Game JSON
17121,metalbit-{metal},grid,Base Game JSON
17122,metalbit-{metal},grid,Base Game JSON
17123,metalbit-{metal},grid,Base Game JSON
17124,metalbit-{metal},grid,Base Game JSON
17117,metalbit-brass,grid,Base Game JSON
17111,metalbit-copper,grid,Base Game JSON
17112,metalbit-copper,grid,Base Game JSON
17113,metalbit-copper,grid,Base Game JSON
17106,metalbit-gold,grid,Base Game JSON
17107,metalbit-gold,grid,Base Game JSON
17109,metalbit-silver,grid,Base Game JSON
17110,metalbit-silver,grid,Base Game JSON
17115,metalbit-tinbronze,grid,Base Game JSON
17116,metalbit-tinbronze,grid,Base Game JSON
17125,metalblock-new-riveted-{metal},grid,Base Game JSON
17418,mudbrickslab-{type}-down-free,grid,Base Game JSON
17158,nugget-nativecopper,grid,Base Game JSON
17159,nugget-nativecopper,grid,Base Game JSON
17160,nugget-nativecopper,grid,Base Game JSON
17161,nugget-nativecopper,grid,Base Game JSON
17162,nugget-nativecopper,grid,Base Game JSON
17163,nugget-nativecopper,grid,Base Game JSON
17164,nugget-nativecopper,grid,Base Game JSON
17165,nugget-nativecopper,grid,Base Game JSON
17193,packeddirt,grid,Base Game JSON
17194,pan-wooden,grid,Base Game JSON
17195,pan-wooden,grid,Base Game JSON
17201,plank-{wood},grid,Base Game JSON
17202,plank-{wood},grid,Base Game JSON
17203,plank-{wood},grid,Base Game JSON
17204,plank-{wood},grid,Base Game JSON
17205,plank-{wood},grid,Base Game JSON
17206,plank-{wood},grid,Base Game JSON
17207,planks-{wood}-ud,grid,Base Game JSON
