"Notes: Labor-intensive crafts, tools, armor, weapons, cooked goods, jewelry. The Empire only buys unused goods. The Empire only buys Perfect Bread. Tools equal to ingot component when applicable. The Empire does not care for your stone tools. Weapons equal to ingot component when applicable. The empire does not buy common tools and armor. 
",TITLE,COUNT,Base Value (Copper Sovereigns),Base Uncommon Value (Copper Sovereigns),03/01/2026 VALUE,Current Uncommon Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,Base Rare Value (Copper Sovereigns),03/01/2026 VALUE,Current Rare Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,Base Epic Value (Copper Sovereigns),03/01/2026 VALUE,Current Epic Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,Base Legendary Value (Copper Sovereigns),03/01/2026 VALUE,Current Legendary Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change
AR057,Pumpkin Bread,32,15,16,16,17,11,9,20,20,19,20,,6.25%,18,18,18,12,9,21,22,20,22,,0.00%,19,19,20,13,10,23,24,22,24,,5.26%,21,21,23,15,12,26,28,25,28,,9.52%
AR058,Sunflower Bread,32,6,7,7,7,5,4,8,8,8,8,,0.00%,7,7,7,5,4,8,8,8,8,,0.00%,8,8,9,6,5,10,11,10,11,,12.50%,9,9,9,6,5,10,11,10,11,,0.00%
AR059,Syrup Candied Fruit Bread,32,28,30,30,31,20,16,36,37,34,37,,3.33%,33,33,35,23,18,40,42,39,42,,6.06%,35,35,37,24,19,43,44,41,44,,5.71%,38,38,42,27,21,48,50,46,50,,10.53%
AR060,Syrup Fruit Bread,32,12,13,13,14,9,7,16,17,15,17,,7.69%,14,14,15,10,8,17,18,17,18,,7.14%,15,15,16,10,8,18,19,18,19,,6.67%,17,17,19,12,10,22,23,21,23,,11.76%
AR061,Mixed Pie (Open) (2000 Sat),32,26,28,28,30,20,15,35,36,33,36,,7.14%,30,30,32,21,16,37,38,35,38,,6.67%,33,33,35,23,18,40,42,39,42,,6.06%,36,36,37,24,19,43,44,41,44,,2.78%
AR062,Mixed Pie (Open) (3000 Sat),32,52,55,55,55,36,28,63,66,61,66,,0.00%,60,60,66,43,33,76,79,73,79,,10.00%,65,65,66,43,33,76,79,73,79,,1.54%,71,71,76,49,38,87,91,84,91,,7.04%
AR063,Mixed Pie (Open) (5000+ Sat),32,78,82,82,86,56,43,99,103,95,103,,4.88%,90,90,95,62,48,109,114,105,114,,5.56%,98,98,99,64,50,114,119,109,119,,1.02%,106,106,115,75,58,132,138,127,138,,8.49%
AR064,Mixed Pie (Closed) (2000 Sat),32,29,31,31,33,21,17,38,40,36,40,,6.45%,34,34,35,23,18,40,42,39,42,,2.94%,37,37,38,25,19,44,46,42,46,,2.70%,40,40,43,28,22,49,52,47,52,,7.50%
AR065,Mixed Pie (Closed) (3000 Sat),32,58,61,61,62,40,31,71,74,68,74,,1.64%,67,67,68,44,34,78,82,75,82,,1.49%,73,73,77,50,39,89,92,85,92,,5.48%,79,79,84,55,42,97,101,92,101,,6.33%
AR066,Mixed Pie (Closed) (5000+ Sat),32,86,91,91,93,60,47,107,112,102,112,,2.20%,99,99,105,68,53,121,126,116,126,,6.06%,108,108,110,72,55,127,132,121,132,,1.85%,117,117,123,80,62,141,148,135,148,,5.13%
AR067,Dairy Pie (Open) (2000 Sat),32,105,111,111,112,73,56,129,134,123,134,,0.90%,121,121,130,85,65,150,156,143,156,,7.44%,132,132,137,89,69,158,164,151,164,,3.79%,142,142,146,95,73,168,175,161,175,,2.82%
AR068,Dairy Pie (Open) (3000 Sat),32,140,147,147,152,99,76,175,182,167,182,,3.40%,161,161,162,105,81,186,194,178,194,,0.62%,175,175,176,114,88,202,211,194,211,,0.57%,189,189,206,134,103,237,247,227,247,,8.99%
AR069,Dairy Pie (Open) (5000+ Sat),32,170,179,179,196,127,98,225,235,216,235,,9.50%,196,196,206,134,103,237,247,227,247,,5.10%,213,213,215,140,108,247,258,237,258,,0.94%,230,230,245,159,123,282,294,270,294,,6.52%
AR070,Dairy Pie (Closed) (2000 Sat),32,116,122,122,130,85,65,150,156,143,156,,6.56%,134,134,134,87,67,154,161,147,161,,0.00%,145,145,150,98,75,173,180,165,180,,3.45%,157,157,164,107,82,189,197,180,197,,4.46%
AR071,Dairy Pie (Closed) (3000 Sat),32,154,162,162,173,112,87,199,208,190,208,,6.79%,178,178,194,126,97,223,233,213,233,,8.99%,193,193,211,137,106,243,253,232,253,,9.33%,208,208,227,148,114,261,272,250,272,,9.13%
AR072,Dairy Pie (Closed) (5000+ Sat),32,187,197,197,208,135,104,239,250,229,250,,5.58%,216,216,228,148,114,262,274,251,274,,5.56%,234,234,238,155,119,274,286,262,286,,1.71%,253,253,267,174,134,307,320,294,320,,5.53%
AR073,Fruit Pie (Open) (2000 Sat),32,55,58,58,60,39,30,69,72,66,72,,3.45%,64,64,69,45,35,79,83,76,83,,7.81%,69,69,74,48,37,85,89,81,89,,7.25%,75,75,82,53,41,94,98,90,98,,9.33%
AR074,Fruit Pie (Open) (3000 Sat),32,85,90,90,97,63,49,112,116,107,116,,7.78%,98,98,107,70,54,123,128,118,128,,9.18%,107,107,117,76,59,135,140,129,140,,9.35%,115,115,126,82,63,145,151,139,151,,9.57%
AR075,Fruit Pie (Open) (5000+ Sat),32,101,107,107,114,74,57,131,137,125,137,,6.54%,117,117,118,77,59,136,142,130,142,,0.85%,127,127,136,88,68,156,163,150,163,,7.09%,137,137,142,92,71,163,170,156,170,,3.65%
AR076,Fruit Pie (Closed) (2000 Sat),32,61,65,65,67,44,34,77,80,74,80,,3.08%,71,71,75,49,38,86,90,83,90,,5.63%,77,77,79,51,40,91,95,87,95,,2.60%,83,83,87,57,44,100,104,96,104,,4.82%
AR077,Fruit Pie (Closed) (3000 Sat),32,94,99,99,107,70,54,123,128,118,128,,8.08%,109,109,117,76,59,135,140,129,140,,7.34%,118,118,127,83,64,146,152,140,152,,7.63%,127,127,140,91,70,161,168,154,168,,10.24%
AR078,Fruit Pie (Closed) (5000+ Sat),32,112,118,118,124,81,62,143,149,136,149,,5.08%,129,129,133,86,67,153,160,146,160,,3.10%,140,140,152,99,76,175,182,167,182,,8.57%,152,152,167,109,84,192,200,184,200,,9.87%
AR079,Vegetable (Open) (2000 Sat),32,48,51,51,56,36,28,64,67,62,67,,9.80%,56,56,59,38,30,68,71,65,71,,5.36%,60,60,62,40,31,71,74,68,74,,3.33%,65,65,72,47,36,83,86,79,86,,10.77%
AR080,Vegetable (Open) (3000 Sat),32,86,91,91,91,59,46,105,109,100,109,,0.00%,99,99,109,71,55,125,131,120,131,,10.10%,108,108,113,73,57,130,136,124,136,,4.63%,117,117,124,81,62,143,149,136,149,,5.98%
AR081,Vegetable (Open) (5000+ Sat),32,108,114,114,117,76,59,135,140,129,140,,2.63%,125,125,128,83,64,147,154,141,154,,2.40%,135,135,136,88,68,156,163,150,163,,0.74%,146,146,162,105,81,186,194,178,194,,10.96%
AR082,Vegetable Pie (Closed) (2000 Sat),32,53,56,56,57,37,29,66,68,63,68,,1.79%,61,61,61,40,31,70,73,67,73,,0.00%,67,67,71,46,36,82,85,78,85,,5.97%,72,72,79,51,40,91,95,87,95,,9.72%
AR083,Vegetable Pie (Closed) (3000 Sat),32,95,100,100,107,70,54,123,128,118,128,,7.00%,110,110,118,77,59,136,142,130,142,,7.27%,119,119,121,79,61,139,145,133,145,,1.68%,129,129,143,93,72,164,172,157,172,,10.85%
AR084,Vegetable Pie (Closed) (5000+ Sat),32,119,125,125,136,88,68,156,163,150,163,,8.80%,137,137,150,98,75,173,180,165,180,,9.49%,149,149,152,99,76,175,182,167,182,,2.01%,161,161,170,111,85,196,204,187,204,,5.59%
AR085,Protein Pie (Open) (2000 Sat),32,39,41,41,43,28,22,49,52,47,52,,4.88%,45,45,49,32,25,56,59,54,59,,8.89%,49,49,50,33,25,58,60,55,60,,2.04%,53,53,57,37,29,66,68,63,68,,7.55%
AR086,Protein Pie (Closed) (3000 Sat),32,56,59,59,61,40,31,70,73,67,73,,3.39%,65,65,68,44,34,78,82,75,82,,4.62%,70,70,77,50,39,89,92,85,92,,10.00%,76,76,82,53,41,94,98,90,98,,7.89%
AR087,Protein Pie (Open) (5000+ Sat),32,75,79,79,81,53,41,93,97,89,97,,2.53%,87,87,87,57,44,100,104,96,104,,0.00%,94,94,95,62,48,109,114,105,114,,1.06%,102,102,110,72,55,127,132,121,132,,7.84%
AR088,Protein Pie (Closed) (2000 Sat),32,43,46,46,47,31,24,54,56,52,56,,2.17%,50,50,52,34,26,60,62,57,62,,4.00%,54,54,59,38,30,68,71,65,71,,9.26%,59,59,63,41,32,72,76,69,76,,6.78%
AR089,Protein Pie (Closed) (3000 Sat),32,62,66,66,67,44,34,77,80,74,80,,1.52%,72,72,78,51,39,90,94,86,94,,8.33%,78,78,84,55,42,97,101,92,101,,7.69%,84,84,87,57,44,100,104,96,104,,3.57%
AR090,Protein Pie (Closed) (5000+ Sat),32,83,88,88,94,61,47,108,113,103,113,,6.82%,96,96,102,66,51,117,122,112,122,,6.25%,104,104,106,69,53,122,127,117,127,,1.92%,113,113,121,79,61,139,145,133,145,,7.08%
,COOKED FOODS,Count,Base Value (Copper Sovereigns),Base Uncommon Value (Copper Sovereigns),03/01/2026 VALUE,Current Uncommon Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,Base Rare Value (Copper Sovereigns),03/01/2026 VALUE,Current Rare Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,Base Epic Value (Copper Sovereigns),03/01/2026 VALUE,Current Epic Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,Base Legendary Value (Copper Sovereigns),03/01/2026 VALUE,Current Legendary Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change
AR091,Au Grautin (Sealed),1,3,4,4,4,3,2,5,5,4,5,,0.00%,4,4,4,3,2,5,5,4,5,,0.00%,4,4,4,3,2,5,5,4,5,,0.00%,5,5,6,4,3,7,7,7,7,,20.00%
AR092,Blue Cheese ,4,30,32,32,34,22,17,39,41,37,41,,6.25%,35,35,36,23,18,41,43,40,43,,2.86%,38,38,40,26,20,46,48,44,48,,5.26%,41,41,44,29,22,51,53,48,53,,7.32%
AR093,Cheese (Waxxed),4,20,21,21,22,14,11,25,26,24,26,,4.76%,23,23,24,16,12,28,29,26,29,,4.35%,25,25,26,17,13,30,31,29,31,,4.00%,27,27,28,18,14,32,34,31,34,,3.70%
AR094,Clarified Bone Broth (Sealed),1,2,3,3,3,2,2,3,4,3,4,,0.00%,3,3,3,2,2,3,4,3,4,,0.00%,3,3,3,2,2,3,4,3,4,,0.00%,3,3,3,2,2,3,4,3,4,,0.00%
AR095,Clarified Meat Broth (Sealed),1,3,4,4,4,3,2,5,5,4,5,,0.00%,4,4,4,3,2,5,5,4,5,,0.00%,4,4,4,3,2,5,5,4,5,,0.00%,5,5,6,4,3,7,7,7,7,,20.00%
AR096,Clarified Seafood Broth (Sealed),1,4,5,5,5,3,3,6,6,6,6,,0.00%,5,5,5,3,3,6,6,6,6,,0.00%,5,5,5,3,3,6,6,6,6,,0.00%,6,6,7,5,4,8,8,8,8,,16.67%
AR097,Clarified Vegetable Broth (Sealed),1,2,3,3,3,2,2,3,4,3,4,,0.00%,3,3,3,2,2,3,4,3,4,,0.00%,3,3,3,2,2,3,4,3,4,,0.00%,3,3,3,2,2,3,4,3,4,,0.00%
AR098,Dumpling Soup (Sealed),1,7,8,8,8,5,4,9,10,9,10,,0.00%,9,9,10,7,5,12,12,11,12,,11.11%,9,9,10,7,5,12,12,11,12,,11.11%,10,10,10,7,5,12,12,11,12,,0.00%
AR099,Meat Soup (Sealed),1,6,7,7,7,5,4,8,8,8,8,,0.00%,7,7,7,5,4,8,8,8,8,,0.00%,8,8,8,5,4,9,10,9,10,,0.00%,9,9,10,7,5,12,12,11,12,,11.11%
AR100,Meat Stew (Sealed),1,5,6,6,6,4,3,7,7,7,7,,0.00%,6,6,6,4,3,7,7,7,7,,0.00%,7,7,7,5,4,8,8,8,8,,0.00%,7,7,8,5,4,9,10,9,10,,14.29%
AR101,Vegetable Soup (Sealed),1,5,6,6,6,4,3,7,7,7,7,,0.00%,6,6,6,4,3,7,7,7,7,,0.00%,7,7,8,5,4,9,10,9,10,,14.29%,7,7,8,5,4,9,10,9,10,,14.29%
AR102,Vegetable Stew (Sealed),1,5,6,6,6,4,3,7,7,7,7,,0.00%,6,6,6,4,3,7,7,7,7,,0.00%,7,7,7,5,4,8,8,8,8,,0.00%,7,7,7,5,4,8,8,8,8,,0.00%
AR103,Pasta (Sealed),1,2,3,3,3,2,2,3,4,3,4,,0.00%,3,3,3,2,2,3,4,3,4,,0.00%,3,3,3,2,2,3,4,3,4,,0.00%,3,3,3,2,2,3,4,3,4,,0.00%
AR104,Pilaf (Sealed),1,1,2,2,2,1,1,2,2,2,2,,0.00%,2,2,2,1,1,2,2,2,2,,0.00%,2,2,2,1,1,2,2,2,2,,0.00%,2,2,2,1,1,2,2,2,2,,0.00%
AR105,Salads (Sealed),1,1,2,2,2,1,1,2,2,2,2,,0.00%,2,2,2,1,1,2,2,2,2,,0.00%,2,2,2,1,1,2,2,2,2,,0.00%,2,2,2,1,1,2,2,2,2,,0.00%
,CURED FOODS,Count,Base Value (Copper Sovereigns),Base Uncommon Value (Copper Sovereigns),03/01/2026 VALUE,Current Uncommon Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,Base Rare Value (Copper Sovereigns),03/01/2026 VALUE,Current Rare Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,Base Epic Value (Copper Sovereigns),03/01/2026 VALUE,Current Epic Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,Base Legendary Value (Copper Sovereigns),03/01/2026 VALUE,Current Legendary Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change
AR106,Bushmeat Cheesy Sausage,32,6,7,7,8,5,4,9,10,9,10,,14.29%,7,7,7,5,4,8,8,8,8,,0.00%,8,8,9,6,5,10,11,10,11,,12.50%,9,9,9,6,5,10,11,10,11,,0.00%
AR107,Bushmeat Sausage,32,5,6,6,6,4,3,7,7,7,7,,0.00%,6,6,6,4,3,7,7,7,7,,0.00%,7,7,7,5,4,8,8,8,8,,0.00%,7,7,7,5,4,8,8,8,8,,0.00%
AR108,Cooked Crab Pemmican,1,4,5,5,5,3,3,6,6,6,6,,0.00%,5,5,5,3,3,6,6,6,6,,0.00%,5,5,5,3,3,6,6,6,6,,0.00%,6,6,6,4,3,7,7,7,7,,0.00%
AR109,Cooked Fish Pemmican,1,3,4,4,4,3,2,5,5,4,5,,0.00%,4,4,4,3,2,5,5,4,5,,0.00%,4,4,4,3,2,5,5,4,5,,0.00%,5,5,5,3,3,6,6,6,6,,0.00%
AR110,Cooked Pemmican,1,2,3,3,3,2,2,3,4,3,4,,0.00%,3,3,3,2,2,3,4,3,4,,0.00%,3,3,3,2,2,3,4,3,4,,0.00%,3,3,3,2,2,3,4,3,4,,0.00%
AR111,Cooked Snake Pemmican,1,5,6,6,6,4,3,7,7,7,7,,0.00%,6,6,6,4,3,7,7,7,7,,0.00%,7,7,7,5,4,8,8,8,8,,0.00%,7,7,8,5,4,9,10,9,10,,14.29%
AR112,Crab Cheesy Sausage,1,8,9,9,9,6,5,10,11,10,11,,0.00%,10,10,10,7,5,12,12,11,12,,0.00%,10,10,10,7,5,12,12,11,12,,0.00%,11,11,12,8,6,14,14,13,14,,9.09%
AR113,Crab Sausage,1,6,7,7,8,5,4,9,10,9,10,,14.29%,7,7,8,5,4,9,10,9,10,,14.29%,8,8,8,5,4,9,10,9,10,,0.00%,9,9,10,7,5,12,12,11,12,,11.11%
AR114,Fish Cheesy Sausage,1,10,11,11,12,8,6,14,14,13,14,,9.09%,12,12,12,8,6,14,14,13,14,,0.00%,13,13,14,9,7,16,17,15,17,,7.69%,14,14,15,10,8,17,18,17,18,,7.14%
AR115,Fish Sausage ,1,9,10,10,11,7,6,13,13,12,13,,10.00%,11,11,11,7,6,13,13,12,13,,0.00%,12,12,12,8,6,14,14,13,14,,0.00%,13,13,13,8,7,15,16,14,16,,0.00%
AR116,Poultry Cheesy Sausage,1,10,11,11,11,7,6,13,13,12,13,,0.00%,12,12,13,8,7,15,16,14,16,,8.33%,13,13,14,9,7,16,17,15,17,,7.69%,14,14,15,10,8,17,18,17,18,,7.14%
AR117,Poultry Sausage,1,6,7,7,7,5,4,8,8,8,8,,0.00%,7,7,8,5,4,9,10,9,10,,14.29%,8,8,9,6,5,10,11,10,11,,12.50%,9,9,10,7,5,12,12,11,12,,11.11%
AR118,Redmeat Cheesy Sausage,1,11,12,12,12,8,6,14,14,13,14,,0.00%,13,13,13,8,7,15,16,14,16,,0.00%,14,14,14,9,7,16,17,15,17,,0.00%,15,15,15,10,8,17,18,17,18,,0.00%
AR119,Redmeat Sausage,1,7,8,8,9,6,5,10,11,10,11,,12.50%,9,9,10,7,5,12,12,11,12,,11.11%,9,9,10,7,5,12,12,11,12,,11.11%,10,10,10,7,5,12,12,11,12,,0.00%
AR120,Snake Cheesy Sausage,1,12,13,13,13,8,7,15,16,14,16,,0.00%,14,14,15,10,8,17,18,17,18,,7.14%,15,15,15,10,8,17,18,17,18,,0.00%,17,17,19,12,10,22,23,21,23,,11.76%
AR121,Snake Sausage,1,9,10,10,11,7,6,13,13,12,13,,10.00%,11,11,12,8,6,14,14,13,14,,9.09%,12,12,12,8,6,14,14,13,14,,0.00%,13,13,14,9,7,16,17,15,17,,7.69%
,CANDY,Count,Base Value (Copper Sovereigns),Base Uncommon Value (Copper Sovereigns),03/01/2026 VALUE,Current Uncommon Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,Base Rare Value (Copper Sovereigns),03/01/2026 VALUE,Current Rare Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,Base Epic Value (Copper Sovereigns),03/01/2026 VALUE,Current Epic Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,Base Legendary Value (Copper Sovereigns),03/01/2026 VALUE,Current Legendary Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change
AR122,Dark Chocolate,32,5,6,6,50,33,25,58,60,55,60,,733.33%,6,6,6,4,3,7,7,7,7,,0.00%,7,7,7,5,4,8,8,8,8,,0.00%,7,7,7,5,4,8,8,8,8,,0.00%
AR123,Dried Fruit,64,2,3,3,3,2,2,3,4,3,4,,0.00%,3,3,3,2,2,3,4,3,4,,0.00%,3,3,3,2,2,3,4,3,4,,0.00%,3,3,3,2,2,3,4,3,4,,0.00%
AR124,Fruit Candy,64,20,21,21,21,14,11,24,25,23,25,,0.00%,23,23,25,16,13,29,30,28,30,,8.70%,25,25,26,17,13,30,31,29,31,,4.00%,27,27,29,19,15,33,35,32,35,,7.41%
AR125,Honey,50 L,100,105,105,109,71,55,125,131,120,131,,3.81%,115,115,125,81,63,144,150,138,150,,8.70%,125,125,129,84,65,148,155,142,155,,3.20%,135,135,151,98,76,174,181,166,181,,11.85%
AR126,Honey Comb,32,6,7,7,8,5,4,9,10,9,10,,14.29%,7,7,7,5,4,8,8,8,8,,0.00%,8,8,8,5,4,9,10,9,10,,0.00%,9,9,9,6,5,10,11,10,11,,0.00%
AR127,Jam (Sealed),1,18,19,19,20,13,10,23,24,22,24,,5.26%,21,21,23,15,12,26,28,25,28,,9.52%,23,23,25,16,13,29,30,28,30,,8.70%,25,25,26,17,13,30,31,29,31,,4.00%
AR128,Milk Chocolate ,32,6,7,7,55,36,28,63,66,61,66,,685.71%,7,7,7,5,4,8,8,8,8,,0.00%,8,8,8,5,4,9,10,9,10,,0.00%,9,9,10,7,5,12,12,11,12,,11.11%
AR129,Nutty Chocolate,32,7,8,8,43,28,22,49,52,47,52,,437.50%,9,9,10,7,5,12,12,11,12,,11.11%,9,9,9,6,5,10,11,10,11,,0.00%,10,10,11,7,6,13,13,12,13,,10.00%
AR130,Peanut Candy,32,11,12,12,13,8,7,15,16,14,16,,8.33%,13,13,13,8,7,15,16,14,16,,0.00%,14,14,14,9,7,16,17,15,17,,0.00%,15,15,15,10,8,17,18,17,18,,0.00%
AR131,Sunflower Candy,32,12,13,13,13,8,7,15,16,14,16,,0.00%,14,14,14,9,7,16,17,15,17,,0.00%,15,15,16,10,8,18,19,18,19,,6.67%,17,17,19,12,10,22,23,21,23,,11.76%
AR132,White Chocolate ,32,13,14,14,40,26,20,46,48,44,48,,185.71%,15,15,16,10,8,18,19,18,19,,6.67%,17,17,18,12,9,21,22,20,22,,5.88%,18,18,19,12,10,22,23,21,23,,5.56%
AR133,Mashed Gozinaki,43,7,8,8,9,6,5,10,11,10,11,,12.50%,9,9,9,6,5,10,11,10,11,,0.00%,9,9,10,7,5,12,12,11,12,,11.11%,10,10,11,7,6,13,13,12,13,,10.00%
,OTHER,Count,Base Value (Copper Sovereigns),Base Uncommon Value (Copper Sovereigns),03/01/2026 VALUE,Current Uncommon Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,Base Rare Value (Copper Sovereigns),03/01/2026 VALUE,Current Rare Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,Base Epic Value (Copper Sovereigns),03/01/2026 VALUE,Current Epic Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change,Base Legendary Value (Copper Sovereigns),03/01/2026 VALUE,Current Legendary Value (Copper Sovereigns),Industrial Town,Industrial City,Market Town,Market City,Religious Town,Temple City,Trend,% Change
AR134,Beany Trail Mix,16,4,5,5,5,3,3,6,6,6,6,,0.00%,5,5,5,3,3,6,6,6,6,,0.00%,5,5,5,3,3,6,6,6,6,,0.00%,6,6,6,4,3,7,7,7,7,,0.00%
AR135,Cheesy Trail Mix,16,5,6,6,7,5,4,8,8,8,8,,16.67%,6,6,7,5,4,8,8,8,8,,16.67%,7,7,8,5,4,9,10,9,10,,14.29%,7,7,7,5,4,8,8,8,8,,0.00%
AR136,Fish Gelatin,32,5,6,6,7,5,4,8,8,8,8,,16.67%,6,6,6,4,3,7,7,7,7,,0.00%,7,7,7,5,4,8,8,8,8,,0.00%,7,7,8,5,4,9,10,9,10,,14.29%
AR137,Fish Sauce,50L,100,105,105,106,69,53,122,127,117,127,,0.95%,115,115,115,75,58,132,138,127,138,,0.00%,125,125,128,83,64,147,154,141,154,,2.40%,135,135,143,93,72,164,172,157,172,,5.93%
AR138,Fruit Gelatin,32,3,4,4,4,3,2,5,5,4,5,,0.00%,4,4,4,3,2,5,5,4,5,,0.00%,4,4,4,3,2,5,5,4,5,,0.00%,5,5,5,3,3,6,6,6,6,,0.00%
AR139,Fruit Syrup,50L,15,16,16,17,11,9,20,20,19,20,,6.25%,18,18,19,12,10,22,23,21,23,,5.56%,19,19,21,14,11,24,25,23,25,,10.53%,21,21,23,15,12,26,28,25,28,,9.52%
AR140,Fruity Trail Mix,16,3,4,4,4,3,2,5,5,4,5,,0.00%,4,4,4,3,2,5,5,4,5,,0.00%,4,4,4,3,2,5,5,4,5,,0.00%,5,5,5,3,3,6,6,6,6,,0.00%
AR141,Gelatin,32,4,5,5,5,3,3,6,6,6,6,,0.00%,5,5,5,3,3,6,6,6,6,,0.00%,5,5,5,3,3,6,6,6,6,,0.00%,6,6,6,4,3,7,7,7,7,,0.00%
AR142,Hardened Cocoa Oil ,50L,38,40,40,44,29,22,51,53,48,53,,10.00%,44,44,48,31,24,55,58,53,58,,9.09%,48,48,52,34,26,60,62,57,62,,8.33%,52,52,57,37,29,66,68,63,68,,9.62%
AR143,Honey Gelatin,32,4,5,5,5,3,3,6,6,6,6,,0.00%,5,5,5,3,3,6,6,6,6,,0.00%,5,5,5,3,3,6,6,6,6,,0.00%,6,6,6,4,3,7,7,7,7,,0.00%
